;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°Q_0024";"0024";"BEdT 010,027";"Aimirigo.";"En greu pantais ma tegut lo(n)gam(en)";"011 rB";"011 vA"
"";"Scheda";"p_°Q_0025";"0025";"BEdT 010,014";"Aimerigo.";"Car fui de dura coindança";"011 vA";"011 vB"
"";"Scheda";"p_°Q_0026";"0026";"BEdT 010,015";"Aimerigo.";"Cel q(i) si rais ni gereia ab amors";"011 vB";"012 rB"
"";"Scheda";"p_°Q_0027";"0027";"BEdT 010,041";"Aimiricus.";"Per solaç dautrui chan souen";"012 rB";"012 vA"
"";"Scheda";"p_°Q_0028";"0028";"BEdT 010,025";"Aimiricus.";"En amor trob alqes enq(e)m refrai(n)g";"012 vA";"012 vB"
"";"Scheda";"p_°Q_0029";"0029";"BEdT 010,050";"Aimiricus.";"Aissi con larbre qi p(er) fobre cargar";"012 vB";"013 rB"
"";"Scheda";"p_°Q_0030";"0030";"BEdT 010,012";"Aimiricus.";"Atressim pren con fai al iogador";"013 rB";"013 vA"
"";"Scheda";"p_°Q_0031";"0031";"BEdT 010,007";"Aimiricus.";"Amors auos metessa(m) clam d(e) uos";"013 vA";"013 vB"
"";"Scheda";"p_°Q_0032";"0032";"BEdT 010,040";"Aimiricus.";"Per raison natural";"013 vB";"014 rB"
"";"Scheda";"p_°Q_0033";"0033";"BEdT 010,008";"Aimiricus.";"Anc mais de iois ni de chan";"014 rB";"014 vA"
"";"Scheda";"p_°Q_0034";"0034";"BEdT 010,034";"Aimiricus.";"Mantaç ueç son enqerriç";"014 vB";"015 rA"
"";"Scheda";"p_°Q_0035";"0035";"BEdT 010,046";"Aimiricus.";"Si sofrir sem pogues";"015 rA";"015 vA"
"";"Scheda";"p_°Q_0036";"0036";"BEdT 010,047";"Aimiricus.";"Ses mon apleig | no(n) uauc";"015 vA";"016 rA"
"";"Scheda";"p_°Q_0037";"0037";"BEdT 010,045";"Aimiricus.";"Qvi lam endiç";"016 rA";"016 vB"
"";"Scheda";"p_°Q_0038";"0038";"BEdT 142,003";"Te(n)ço.";"Segner ponz de mon laur p(er) uos";"016 vB";"016 vB"
"";"Scheda";"p_°Q_0039";"0039";"BEdT 155,016";"Folchetl d(e) marsilia.";"Per deu amor bem sabes ueramen";"017 rA";"017 rB"
"";"Scheda";"p_°Q_0040";"0040";"BEdT 155,018";"Folchetel.";"Sal cor plagues ben for ormai saçon";"017 rB";"017 vB"
"";"Scheda";"p_°Q_0041";"0041";"BEdT 155,001";"Folchetl.";"Amor merce no moira tan souen";"017 vB";"018 rA"
"";"Scheda";"p_°Q_0042";"0042";"BEdT 155,022";"Folchet(us).";"Tan ma belis lamoros pensamenç";"018 rA";"018 rB"
"";"Scheda";"p_°Q_0043";"0043";"BEdT 155,014";"Folchet(us).";"Molt ife gra(n)t peccat amors";"018 rB";"018 vA"
"";"Scheda";"p_°Q_0044";"0044";"BEdT 155,025";"Folchet(us).";"Uermillon clam uos faç";"018 vB";"018 vB"
"";"Scheda";"p_°Q_0045";"0045";"BEdT 155,003";"Folchet(us).";"A quant gens uenç (et) a qant pauc daffan";"018 vB";"019 rA"
"";"Scheda";"p_°Q_0046";"0046";"BEdT 155,005";"Folchet(us).";"Ben an mort mi (et) lor";"019 rA";"019 vA"
"";"Scheda";"p_°Q_0047";"0047";"BEdT 155,008";"Folchet(us).";"Enchantan mauen amenbrar";"019 vA";"019 vB"
"";"Scheda";"p_°Q_0048";"0048";"BEdT 155,021";"Folchet(us).";"Se tut me sui attart apercebuç";"019 vB";"020 rA"
"";"Scheda";"p_°Q_0049";"0049";"BEdT 155,010";"Folchet(us).";"Greu fera nulç ho(m) fallença";"020 rA";"020 vA"
"";"Scheda";"p_°Q_0050";"0050";"BEdT 155,007";"Folchet(us).";"Chantar mi tornada fan";"020 vA";"021 rA"
"";"Scheda";"p_°Q_0051";"0051";"BEdT 155,020";"Folchet(us).";"Si com cel qes tant greuiaç";"021 rA";"021 vA"
"";"Scheda";"p_°Q_0052";"0052";"BEdT 167,059";"Folchet(us).";"Tant asoffert loniame(n)t gra(n)t affa(n)";"021 vA";"022 rA"
"";"Scheda";"p_°Q_0053";"0053";"BEdT 155,027";"Folchet(us).";"Us uolers outra cuidaç";"022 rA";"022 rB"
"";"Scheda";"p_°Q_0054";"0054";"BEdT 155,011";"Folchet(us).";"Ia non cuig hom qeu cange mas cha(n)ço(s)";"022 rB";"022 vB"
"";"Scheda";"p_°Q_0055";"0055";"BEdT 155,015";"Folchet(us).";"Oi mais no(n) conosc raço";"022 vB";"023 rB"
"";"Scheda";"p_°Q_0056";"0056";"BEdT 155,013";"Folchet(us).";"Merauil mi co(m) pot nuls hom cantar";"023 rB";"023 vA"
"";"Scheda";"p_°Q_0057@";"0057";"BEdT 155,006";"Folchet(us).";"Chantan uolgra mo(n) fin cor alleg(ra)r";"023 vA";"023 vB"
"";"Scheda";"p_°Q_0058";"0058";"BEdT 155,009";"Folchet(us).";"Finamor acui me so daç";"023 vB";"024 rA"
"";"Scheda";"p_°Q_0059";"0059";"BEdT 432,002";"Te(n)ço(n).";"Gauselin tres ioecs en amoraz";"024 rA";"024 vB"
"";"Scheda";"p_°Q_0059a";"0059bis";"BEdT 366,017";"0";"Gausselin ai ci nona conten";"024 vB";"024 vB"
"";"Scheda";"p_°Q_0060";"0059ter";"BEdT 461,020";"0";"Amor mai pres per la uentalgha";"024 vB";"024 vB"
"";"Scheda";"p_°Q_0061";"0060";"BEdT 070,001";"Bernardo adue(n)tat.";"Ab ioi meu lo uers el començ";"025 rA";"025 rB"
"";"Scheda";"p_°Q_0062";"0061";"BEdT 070,010";"Bernardo.";"Bel mes qeu chant en aqel mes";"025 rB";"025 vB"
"";"Scheda";"p_°Q_0063";"0062";"BEdT 070,043";"Bernardus.";"Qant ueu la laudetta mouer";"025 vB";"026 rA"
"";"Scheda";"p_°Q_0064";"0063";"BEdT 070,041";"Bernardus.";"Qan par la flor iostal uer foil";"026 rA";"026 vA"
"";"Scheda";"p_°Q_0065";"0064";"BEdT 070,016";"Beradus.";"Conort ara sai eu ben";"026 vA";"026 vB"
"";"Scheda";"p_°Q_0066";"0065";"BEdT 070,006";"Bernardus.";"Eram consillaç signor";"026 vB";"027 rB"
"";"Scheda";"p_°Q_0067";"0066";"BEdT 070,012";"Bernardus.";"Ben man p(er)dut laideuer uentador";"027 rB";"027 vA"
"";"Scheda";"p_°Q_0068";"0067";"BEdT 070,029";"Bernardus.";"Lo reissegnol ses baudeia";"027 vA";"028 rA"
"";"Scheda";"p_°Q_0069";"0068";"BEdT 070,042";"Bernardus.";"Qvant par la flor lerba fresca (et) la folla";"028 rA";"028 rB"
"";"Scheda";"p_°Q_0070";"0069";"BEdT 070,031";"Bernardus.";"Non es meruella seu chan";"028 rB";"028 vB"
"";"Scheda";"p_°Q_0071";"0070";"BEdT 070,030";"Bernardus.";"Lo te(m)ps uai (et) uen (et) uire";"028 vB";"029 rA"
"";"Scheda";"p_°Q_0072";"0071";"BEdT 070,007";"Bernardus.";"Ara non uei luser solel";"029 rA";"029 vA"
"";"Scheda";"p_°Q_0073";"0072";"BEdT 070,019";"Bernardus.";"Est ai cum hom esp(er)duç";"029 vA";"029 vB"
"";"Scheda";"p_°Q_0074";"0073";"BEdT 070,035";"Bernardus.";"Per escobrir lo mal pes el cossire";"029 vB";"030 rB"
"";"Scheda";"p_°Q_0075";"0074";"BEdT 070,033";"Bernardus.";"Pel dolç chant qel resignol fai";"030 rB";"030 rB"
"";"Scheda";"p_°Q_0076";"0075";"BEdT 070,027";"Bernardus.";"Loncs te(m)ps a qeu no(n) chantei mai";"030 vA";"030 vB"
"";"Scheda";"p_°Q_0077";"0076";"BEdT 070,025";"Bernardus.";"La(n) qant uei foilla";"030 vB";"031 rA"
"";"Scheda";"p_°Q_0078";"0077";"BEdT 070,017";"Bernardus.";"Encossirer et en esmai";"031 rA";"031 vA"
"";"Scheda";"p_°Q_0079";"0078";"BEdT 070,036";"Be(r)nardus.";"Pos mi preiaç segnor";"031 vA";"031 vB"
"";"Scheda";"p_°Q_0080";"0079";"BEdT 167,049";"Bernardus.";"Qan lafoilla sobre larbre sespan";"031 vB";"032 rA"
"";"Scheda";"p_°Q_0081";"0080";"BEdT 070,045";"Bernardus.";"Tuit cil qe preion qeu chan";"032 rA";"032 vA"
"";"Scheda";"p_°Q_0082";"0081";"BEdT 070,026";"Bernardus.";"Lan qe uei p(er)mei la landa";"032 vA";"032 vB"
"";"Scheda";"p_°Q_0083";"0082";"BEdT 366,030";"Te(n)ço(n).";"Segner qal penriaç uos";"032 vB";"033 rA"
"";"Scheda";"p_°Q_0084";"0083";"BEdT 238,002";"Te(n)ço(n).";"Em ra(m)baut pros do(n)na daut li(n)gnage";"033 rB";"033 rB"
"";"Scheda";"p_°Q_0085";"0084";"BEdT 238,001a";"Te(n)ço(n).";"En maenard ros ab sanbuda";"033 vA";"033 vA"
"";"Scheda";"p_°Q_0086";"0085";"BEdT 414,001";"Te(n)ço(n).";"Segner jaufre respondez me sius plas";"033 vB";"033 vB"
"";"Scheda";"p_°Q_0086a";"0085bis";"BEdT 119,006";"0";"Car tot foron duna raiz";"033 vB";"034 rA"
"";"Scheda";"p_°Q_0087";"0086";"BEdT 097,007";"Te(n)ço(n).";"Peire uidal pos far maue(n) te(n)çon";"034 rA";"034 rB"
"";"Scheda";"p_°Q_0088";"0087";"BEdT 233,005";"Te(n)ço(n).";"Segner en blancaç de do(n)na pros";"034 rB";"034 vA"
"";"Scheda";"p_°Q_0089";"0088";"BEdT 097,004";"Te(n)ço(n).";"Em ranbaut ses sas ben";"034 vA";"034 vB"
"";"Scheda";"p_°Q_0090";"0089";"BEdT 194,019";"Guidus duxelus.";"Se bem partes mala dona de uos";"035 rA";"035 rB"
"";"Scheda";"p_°Q_0091";"0090";"BEdT 194,008";"Guidus duxelus.";"Anc de chantar no(n) fail cor ni raços";"035 rB";"035 vA"
"";"Scheda";"p_°Q_0092";"0091";"BEdT 194,003";"Guidus.";"Ben feira chanços plus souen";"035 vB";"036 rA"
"";"Scheda";"p_°Q_0093";"0092";"BEdT 194,006";"Guidus.";"De tantam gisam menamors";"036 rA";"036 rB"
"";"Scheda";"p_°Q_0094";"0093";"BEdT 194,007";"Guido.";"Estat aurai de chantar";"036 vA";"036 vB"
"";"Scheda";"p_°Q_0094a";"0094";"BEdT 461,095";"0";"D[e]nna qe de cognat fai drut";"036 vB";"036 vB"
"";"Scheda";"p_°Q_0094b";"0095";"BEdT 461,250";"0";"[v]Uilan dic qes de sen isiç";"036 vB";"036 vB"
"";"Scheda";"p_°Q_0095";"0096";"BEdT 461,154";"0";"[l]Io sen uolgra de salomon";"036 vB";"036 vB"
"";"Scheda";"p_°Q_0096";"0097";"BEdT 461,098";"0";"Dons granç con qer hom abundo(n)";"036 vB";"036 vB"
"";"Scheda";"p_°Q_0097";"0098";"BEdT 450,004";"Nuc d(e) bru(n)del.";"Cortesamen mou amo(n) cor mescla(n)ça";"037 rA";"037 rB"
"";"Scheda";"p_°Q_0098";"0099";"BEdT 450,007";"Nuc.";"Qant lo dreiç te(m)ps uen gaban eriden";"037 rB";"037 vB"
"";"Scheda";"p_°Q_0099";"0100";"BEdT 450,002";"Nuc.";"Aram nafron li sospir";"037 vB";"038 rB"
"";"Scheda";"p_°Q_0100";"0101";"BEdT 448,001a";"Te(n)ço(n).";"Dalphin respondes moi sius plaz";"038 rB";"038 vA"
"";"Scheda";"p_°Q_0100a";"0101bis";"BEdT 119,001";"0";"Bauchan car mauez ensei(n)gnat";"038 vA";"038 vB"
"";"Scheda";"p_°Q_0100b";"0101ter";"BEdT 432,002";"0";"E sai nuna ab gai cors plaçen";"038 vB";"038 vB"
"";"Scheda";"p_°Q_0101";"0101quater";"BEdT 457,022";"0";"Na Maria es gent e plansentera";"038 vB";"038 vB"
"";"Scheda";"p_°Q_0102";"0102";"BEdT 029,014";"Narnart daniel.";"Lo ferm voler qinç el cor mintra";"039 rA";"039 rB"
"";"Scheda";"p_°Q_0103";"0103";"BEdT 029,006";"Naruart.";"Cançon dolç/ moç son plan e prim";"039 rB";"039 vA"
"";"Scheda";"p_°Q_0104";"0104";"BEdT 029,004";"Naruat.";"Ar uei uermeilç uers blaus bla(n)cs egrox";"039 vA";"040 rA"
"";"Scheda";"p_°Q_0105";"0105";"BEdT 029,002";"Naruat.";"Anc eu nolac mas ela ma";"040 rA";"040 rB"
"";"Scheda";"p_°Q_0106";"0106";"BEdT 029,017";"Narnart.";"Si fos amors de ioi donar ta(n) larga";"040 vA";"040 vB"
"";"Scheda";"p_°Q_0107";"0106bis";"BEdT 457,022";"0";"E pos deus la messa ental carrei(r)a";"040 vB";"040 vB"
"";"Scheda";"p_°Q_0108";"0106ter";"BEdT 457,022";"0";"Na Maria ueiaç abcal raços";"040 vB";"040 vB"
"";"Scheda";"p_°Q_0109";"0107";"BEdT 461,245";"0";"Un caualer conos qe laltrer ui";"040 vB";"040 vB"
"";"Scheda";"p_°Q_0110";"0108";"BEdT 461,084";"0";"De sirat ai enqer desir";"040 vB";"040 vB"
"";"Scheda";"p_°Q_0111";"0109";"BEdT 234,016";"Guilem d(e) leisdet.";"Pos tan mesforça amor";"041 rA";"041 vA"
"";"Scheda";"p_°Q_0112";"0110";"BEdT 234,007";"Guilem.";"Dona eu uos sui messagers";"041 vA";"042 rA"
"";"Scheda";"p_°Q_0113";"0111";"BEdT 392,015";"Te(n)ço(n).";"Segner naesmarchausez/ de tres baros";"042 rA";"042 rB"
"";"Scheda";"p_°Q_0114";"0112";"BEdT 461,IV";"0";"Donna mesaç eu sui";"042 vA";"042 vA"
"";"Scheda";"p_°Q_0115";"0113";"BEdT 461,058";"0";"Bo(n)na dona u(ost)re p(re)ç fo traç";"042 vA";"042 vA"
"";"Scheda";"p_°Q_0116";"0114";"BEdT 461,024";"0";"An co(n) do(m)pne bella et plasent";"042 vA";"042 vA"
"";"Scheda";"p_°Q_0117";"0115";"BEdT 223,006";"0";"Nome ual plus coblas ne artexos";"042 vB";"042 vB"
"";"Scheda";"p_°Q_0117_01";"0116";"BEdT 012,001";"0";"An acarenza albel cors auenenç";"042 vB";"042 vB"
"";"Scheda";"p_°Q_0118";"0117";"BEdT 421,001";"Ricardus birbiscelus.";"Atressi co(m) lo lios";"043 rA";"043 rB"
"";"Scheda";"p_°Q_0119";"0118";"BEdT 421,003";"Ricardus birbiscelus.";"Atressi com perciuaus";"043 rB";"043 vB"
"";"Scheda";"p_°Q_0120";"0119";"BEdT 421,010";"Ricardus.";"Tvt demandon qes deuengut amors";"043 vB";"044 rA"
"";"Scheda";"p_°Q_0121";"0120";"BEdT 421,005";"Ricardus.";"Ben uolria saber damor";"044 rA";"044 rB"
"";"Scheda";"p_°Q_0122";"0121";"BEdT 421,006";"Ricardus.";"Lo nous mes dabril come(n)ça";"044 rB";"044 vB"
"";"Scheda";"p_°Q_0123";"0122";"BEdT 421,002";"Ricardus.";"Atressi co(m) lo lifanç";"044 vB";"045 rB"
"";"Scheda";"p_°Q_0124";"0123";"BEdT 167,047";"Te(n)ço.";"Perdigons v(ost)re sen digaç";"045 rB";"045 vB"
"";"Scheda";"p_°Q_0125";"0124";"BEdT 010,028";"Te(n)ço(n).";"Gauselins fai diz de dos amics corals";"045 vB";"045 vB"
"";"Scheda";"p_°Q_0126";"0125";"BEdT 370,003";"Perdigons.";"Ben aiol mal el affan el cossir";"046 rA";"046 rB"
"";"Scheda";"p_°Q_0127";"0126";"BEdT 370,009";"Perdigons.";"Lomals damors ai eu ben toç apres";"046 rB";"046 vA"
"";"Scheda";"p_°Q_0128";"0127";"BEdT 370,014";"Perdigons.";"Trop ai estat qe bon esper no ui";"046 vA";"047 rA"
"";"Scheda";"p_°Q_0129";"0128";"BEdT 370,013";"Perd(i)gons.";"Tvt te(m)ps mi ten amors de tal faiço(n)";"047 rA";"047 rB"
"";"Scheda";"p_°Q_0130";"0129";"BEdT 236,012";"Te(n)ço(n).";"Uns amics (et) una amia";"047 rB";"047 vA"
"";"Scheda";"p_°Q_0131a";"0130";"BEdT 414,001";"Te(n)ço(n).";"Qe de mon mal | Aiguez ioi e solaz";"047 vA";"047 vB"
"";"Scheda";"p_°Q_0132";"0131";"BEdT 392,020";"Rambaut d(e) uagre(n)";"Tan no cuidei ueçer";"048 rA";"048 vB"
"";"Scheda";"p_°Q_0133";"0132";"BEdT 392,018";"Rambaut.";"Gerra ni plaich no(n) son bon";"048 vB";"049 rB"
"";"Scheda";"p_°Q_0134";"0133";"BEdT 392,023";"Rambaut.";"Leu pot hom gauç (et) preç auer";"049 rB";"049 vA"
"";"Scheda";"p_°Q_0135";"0134";"BEdT 392,013";"Rambaut.";"Eissamen ai geriat ab amor";"049 vB";"050 rA"
"";"Scheda";"p_°Q_0136";"0135";"BEdT 281,003";"Ricardus.";"Dvn saluç mi uoil entremetre";"050 rA";"050 rB"
"";"Scheda";"p_°Q_0137";"0136";"BEdT 389,038a";"Ricardus.";"Si de trobar agues meillor raçon";"050 rB";"050 vB"
"";"Scheda";"p_°Q_0138_01@";"0137";"BEdT 156,011";"0";"Ben uolgra qel fos un segurre";"050 vB";"050 vB"
"";"Scheda";"p_°Q_0139";"0138";"BEdT 167,037";"Gancelus faidit(us).";"Mon cor emi e ma bonas chanchos";"051 rA";"051 rB"
"";"Scheda";"p_°Q_0140";"0139";"BEdT 167,043";"Gançelus.";"No malegra chanç ne criç";"051 rB";"051 vA"
"";"Scheda";"p_°Q_0141";"0140";"BEdT 167,056";"Gançelus.";"Som pogues partir son uoler";"051 vB";"052 rA"
"";"Scheda";"p_°Q_0142";"0141";"BEdT 167,022";"Gançelus.";"For chausa es e tut lo mager dan";"052 rA";"052 vA"
"";"Scheda";"p_°Q_0143";"0142";"BEdT 167,015";"Gauçelus.";"Chant (et) deport ioi do(m)nei (et) solaç";"052 vA";"052 vB"
"";"Scheda";"p_°Q_0143a";"0142bis";"BEdT 461,130";"0";"Les li poder nos parton p(er) engal";"052 vB";"052 vB"
"";"Scheda";"p_°Q_0144";"0142ter";"BEdT 461,032";"0";"Altretant leu pot hom accortesia";"052 vB";"053 rA"
"";"Scheda";"p_°Q_0145";"0143";"BEdT 167,056";"Gançelus.";"Son pogues partir son uoler";"053 rA";"053 rB"
"";"Scheda";"p_°Q_0146";"0144";"BEdT 167,032";"Ga(n)çelus.";"Lo gen cors honraç";"053 rB";"053 vB"
"";"Scheda";"p_°Q_0147";"0158";"BEdT 406,013";"Raimo(n)t [d(e)] miraua[l].";"Ben magradal bel te(m)ps de stiu";"055 rA";"055 rB"
"";"Scheda";"p_°Q_0148";"0159";"BEdT 406,002";"Raimo(n)t.";"Aissi con es genser pascors";"055 rB";"055 vB"
"";"Scheda";"p_°Q_0149";"0160";"BEdT 406,042";"Raimo(n)t.";"Tals ua mon chan enqeren";"055 vB";"055 vB"
"";"Scheda";"p_°Q_0150";"0144bis";"BEdT 167,032";"0";"Ni auols peccaç";"056 rA";"056 rB"
"";"Scheda";"p_°Q_0151";"0145";"BEdT 167,060";"Gançelus.";"Toç me cuigei de chanço(n)s far sofrire";"056 rB";"056 vA"
"";"Scheda";"p_°Q_0152";"0146";"BEdT 167,062";"Gançelus.";"Tuit cil qi amon ualor";"056 vA";"057 rA"
"";"Scheda";"p_°Q_0153";"0147";"BEdT 167,058";"Gançelus.";"Tan sui ferms e fis ues amor";"057 rA";"057 rB"
"";"Scheda";"p_°Q_0154";"0148";"BEdT 167,034";"Gançelus.";"Lo reseillolet saluage";"057 rB";"057 vB"
"";"Scheda";"p_°Q_0155";"0149";"BEdT 167,027";"Gançelus.";"Ben fora contra lafan";"057 vB";"058 rB"
"";"Scheda";"p_°Q_0156";"0150";"BEdT 167,052";"0";"Si anc nuls hom p(er) auer fin corage";"058 vA";"058 vB"
"";"Scheda";"p_°Q_0157";"0151";"BEdT 167,017";"Gançelus.";"Coras q(e)m des bene(n)na(n)ça";"058 vB";"059 rB"
"";"Scheda";"p_°Q_0158";"0152";"BEdT 167,030";"Gançelus.";"Iamais nuls te(m)ps no(n) pot ren far amors";"059 rB";"059 vA"
"";"Scheda";"p_°Q_0159";"0153";"BEdT 167,059";"Gançelus.";"Tant ai sofert longamen greu afan";"059 vA";"060 rA"
"";"Scheda";"p_°Q_0160";"0154";"BEdT 030,013";"Arnau(n)t d(e) miroil.";"Franqes e nurriment";"060 vA";"060 vB"
"";"Scheda";"p_°Q_0161";"0155";"BEdT 030,015";"Arnadus.";"La franca captenença";"060 vB";"061 rB"
"";"Scheda";"p_°Q_0162";"0156";"BEdT 030,001";"Arnadus.";"A grant honor uiu cui iois cobiç";"061 rB";"061 vA"
"";"Scheda";"p_°Q_0163";"0157";"BEdT 030,021";"Arnadus.";"Sens ioi no(n) es ualors";"061 vA";"061 vB"
"";"Scheda";"p_°Q_0164@";"0160bis";"BEdT 406,042";"0";"Se ia p(er) nullaltral men";"062 rA";"062 rA"
"";"Scheda";"p_°Q_0165";"0161";"BEdT 406,020";"Raimo(n)t.";"Sil que no(n) uol audir chanchoç";"062 rA";"062 rB"
"";"Scheda";"p_°Q_0166";"0162";"BEdT 406,007";"Raimo(n)t.";"Apena sai dunt ma pre(n)g";"062 rB";"062 vB"
"";"Scheda";"p_°Q_0167";"0163";"BEdT 406,012";"Raimo(n)t.";"[b]Del mes qeu chant e con dei";"062 vB";"064 rB"
"";"Scheda";"p_°Q_0168";"0164";"BEdT 030,022";"Raimo(n)t.";"Si com li peis an en laiga lor uida";"064 rB";"064 vA"
"";"Scheda";"p_°Q_0169";"0165";"BEdT 030,006";"Raimo(n)t.";"Aissi com mos cors es";"064 vA";"065 rA"
"";"Scheda";"p_°Q_0170";"0166";"BEdT 030,008";"Raimo(n)t.";"Anc uas amor nous poc res co(n)tradire";"065 rA";"065 vA"
"";"Scheda";"p_°Q_0171";"0167";"BEdT 030,019";"Raimo(n)t.";"Molt eron dolç mei cossir";"065 vA";"065 vB"
"";"Scheda";"p_°Q_0172";"0168";"BEdT 030,023";"Ramo(n)t.";"Sim destregnes do(n)na uos (et) amor";"065 vB";"066 rA"
"";"Scheda";"p_°Q_0173";"0169";"BEdT 030,003";"Raimu(n)dus.";"Aissi com cel qe ama no(n) amaç";"066 rA";"066 vA"
"";"Scheda";"p_°Q_0174";"0170";"BEdT 030,016";"Raimo(n)dus";"La gran beutaç el fin ensegname(n)ç";"066 vA";"066 vA"
"";"Scheda";"p_°Q_0175";"0170bis";"BEdT 030,016";"Raimo(n)dus.";"Car uos am tant do(n)na celadame(n)ç";"066 vA";"066 vB"
"";"Scheda";"p_°Q_0175_01";"0171";"BEdT 461,185";"0";"O re del cel mia gram colpa";"066 vB";"066 vB"
"";"Scheda";"p_°Q_0176@";"0172";"BEdT 364,011";"Pere uidalus.";"Bem pac diuern et de stiu";"067 rA";"067 rB"
"";"Scheda";"p_°Q_0177";"0173";"BEdT 364,031";"Petrus uitalus.";"Nulç hom no(n) pot damor gandir";"067 vA";"067 vB"
"";"Scheda";"p_°Q_0178";"0174";"BEdT 364,024";"Petrus.";"Ges pel tem fer (et) brau";"067 vB";"068 rB"
"";"Scheda";"p_°Q_0179";"0175";"BEdT 364,040";"Petrus.";"Qant hom onrat torna en gra(n)t paubrera";"068 rB";"068 vA"
"";"Scheda";"p_°Q_0180";"0176";"BEdT 364,040";"Petrus.";"A lei no(n) ual força ni engeng q(e)u qera";"068 vA";"068 vB"
"";"Scheda";"p_°Q_0181";"0177";"BEdT 364,004";"Petrus.";"Anc no mori p(er) amor ni per al";"068 vB";"069 rA"
"";"Scheda";"p_°Q_0182";"0178";"BEdT 364,043";"Petrus.";"Sim laissaua de chantar";"069 rA";"069 vA"
"";"Scheda";"p_°Q_0183";"0179";"BEdT 364,014";"Petrus.";"Bona uetura don deus al pesans";"069 vA";"069 vA"
"";"Scheda";"p_°Q_0184";"0180";"BEdT 364,039";"Petrus.";"Qvant hom es en autruj poder";"069 vB";"070 rA"
"";"Scheda";"p_°Q_0185";"0181";"BEdT 364,037";"Petrus.";"Pos tornat suj en proença";"070 rA";"070 vA"
"";"Scheda";"p_°Q_0186";"0182";"BEdT 364,015";"Petrus.";"Mara miga dolç (et) franca";"070 vA";"070 vB"
"";"Scheda";"p_°Q_0187";"0183";"BEdT 364,047";"Petrus.";"Tant ont ben dit del marqes";"070 vB";"071 rA"
"";"Scheda";"p_°Q_0188";"0184";"BEdT 364,013";"Petrus.";"Ben uiu agrant dolor";"071 rA";"071 vA"
"";"Scheda";"p_°Q_0189";"0185";"BEdT 364,016";"Petrus.";"De chantar mera laissat";"071 vA";"072 rA"
"";"Scheda";"p_°Q_0190";"0186";"BEdT 364,035";"Petrus.";"Per pauc qe de chantar nu(m) lais";"072 rA";"072 rB"
"";"Scheda";"p_°Q_0191";"0187";"BEdT 364,036";"Petrus.";"Plus qel paubres qe iaç en ric ostal";"072 rB";"072 vA"
"";"Scheda";"p_°Q_0192";"0188";"BEdT 364,030";"Petrus.";"Neu ni gel ni ploia ni fain";"072 vA";"072 vB"
"";"Scheda";"p_°Q_0193";"0189";"BEdT 364,018";"Petrus.";"Drugoman segner se agues bon destrier";"072 vB";"073 rA"
"";"Scheda";"p_°Q_0194";"0190";"BEdT 364,007";"Petrus.";"Tainç bon torneiç ai bastit";"073 rA";"073 rB"
"";"Scheda";"p_°Q_0195@";"0191";"BEdT 364,008";"Petrus.";"Baron ih(e)[ç](us) qi en la croç fomes";"073 rB";"073 rB"
"";"Scheda";"p_°Q_0196";"0192";"BEdT 364,029";"Petrus.";"Molt me bon e bel";"073 vA";"074 rA"
"";"Scheda";"p_°Q_0197";"0193";"BEdT 364,048";"Petrus.";"Tan me plaç / ioi e solaç";"074 rA";"074 vA"
"";"Scheda";"p_°Q_0197a";"0193";"BEdT 461,175a";"-";"Neus eglaç";"074 vA";"074 vA"
"";"Scheda";"p_°Q_0198";"0194";"BEdT 364,042";"Petrus.";"Seu fos en cort o ho(m) te(n)g(e)s dreitura";"074 vA";"075 rA"
"";"Scheda";"p_°Q_0199";"0195";"BEdT 364,021";"Petrus.";"Estat ai gran saison";"075 rA";"075 vA"
"";"Scheda";"p_°Q_0200@";"0196";"BEdT 364,017";"[Petrus.]";"Deus en sia graçis";"075 vA";"076 rA"
"";"Scheda";"p_°Q_0201";"0197";"BEdT 364,010";"Petrus.";"Ben magrada la co(n)uine(n)t saços";"076 rA";"076 rB"
"";"Scheda";"p_°Q_0202";"0198";"BEdT 364,022";"Petrus.";"Si tot lestius es bel (et) gent";"076 rB";"076 vB"
"";"Scheda";"p_°Q_0202_01";"0198bis";"Deus propicius esto michi peccatori";"0";"Deus propicius esto michi peccatori";"076 vB";"076 vB"
"";"Scheda";"p_°Q_0203";"0199";"BEdT 366,013";"Perolus.";"Dvn bon uers deu pe(n)sar co(m) sel feces";"077 rA";"077 rB"
"";"Scheda";"p_°Q_0204";"0200";"BEdT 366,020";"Perolus.";"Mencion ai totta en uers mesa";"077 rB";"077 vA"
"";"Scheda";"p_°Q_0205";"0201";"BEdT 366,012";"Perolus.";"Del seu tort farai emenda";"077 vA";"078 rA"
"";"Scheda";"p_°Q_0206";"0202";"BEdT 173,003";"Perolus.";"Car no mabelis solaç";"078 rA";"078 rB"
"";"Scheda";"p_°Q_0207";"0203";"BEdT 366,019";"Perolus.";"Manta ge(n)t mo mal rasona";"078 vA";"078 vB"
"";"Scheda";"p_°Q_0208";"0204";"BEdT 366,003";"Perolus.";"Ben dei chantar pos amors mo e(n)segna";"078 vB";"079 rA"
"";"Scheda";"p_°Q_0209";"0205";"BEdT 366,014";"Perolus.";"Don souet uau pessan";"079 rA";"079 rB"
